Sales per Share,EPS (recurring),Dividends,Cash Flow per Share,Date
-,-,0,-,MAR '02
-,-,0,-,JUN '02
-,-,0,-,SEP '02
0.385261,-,0,-,DEC '02
-,-,0,-,MAR '03
-,-,0,-,JUN '03
-,-,0,-,SEP '03
0.937529,0.049888,0,-,DEC '03
1.192787,0.117102,0,-,MAR '04
1.281728,0.144724,0,-,JUN '04
1.468082,0.35101,0,0.434189,SEP '04
1.805422,0.369976,0,0.644275,DEC '04
2.194137,0.644688,0,0.92483,MAR '05
2.412346,0.59732,0,1.088337,JUN '05
2.727185,0.683745,0,1.11742,SEP '05
3.159749,0.614216,0,1.084099,DEC '05
3.708921,1.013878,0,1.357349,MAR '06
3.964624,1.16401,0,1.35693,JUN '06
4.334356,1.189468,0,1.618449,SEP '06
5.118055,1.645692,0,1.454218,DEC '06
5.82386,1.59293,0,1.938536,MAR '07
6.142811,1.467681,0,1.951248,JUN '07
6.689463,1.691576,0,2.581092,SEP '07
7.598256,1.899216,0,2.665545,DEC '07
8.177684,2.061097,0,2.805944,MAR '08
8.44657,1.963063,0,2.779459,JUN '08
8.72746,2.031599,0,3.441218,SEP '08
9.004523,1.814457,0,3.352153,DEC '08
8.448508,2.230858,0,3.549086,MAR '09
8.48322,2.595182,0,2.528332,JUN '09
9.244412,2.696983,0,4.266858,SEP '09
10.355275,2.774703,0,4.243465,DEC '09
10.49501,3.034012,0,4.008737,MAR '10
10.461733,2.857771,0,3.235828,JUN '10
11.173201,3.682639,0,4.480458,SEP '10
12.937348,3.986056,0,5.420926,DEC '10
13.127654,3.410798,0,4.864025,MAR '11
13.849288,3.928058,0,5.401867,JUN '11
14.855297,4.141264,0,6.037496,SEP '11
16.064069,4.430701,0,5.969262,DEC '11
16.081657,4.542522,0,5.600079,MAR '12
18.357015,4.47631,0,6.433201,JUN '12
21.080106,3.798143,0,6.012162,SEP '12
21.487924,4.439523,0,6.975881,DEC '12
20.714316,4.946074,0,5.400826,MAR '13
20.813004,3.684508,0,6.959857,JUN '13
21.93965,4.428797,0,7.499108,SEP '13
24.73778,4.917028,0,7.687718,DEC '13
22.492692,4.9981,0,6.408345,MAR '14
23.236975,4.953647,0,8.198286,JUN '14
23.993955,4.417224,0,8.709488,SEP '14
26.080225,5.811986,0,9.243403,DEC '14
24.578751,5.312561,0,9.596837,MAR '15
24.976913,4.999146,0,10.110323,JUN '15
26.484944,5.792294,0,8.651643,SEP '15
30.125175,7.13016,0,9.2034,DEC '15
28.725417,6.331375,0,10.950779,MAR '16
30.741325,7.13026,0,13.087521,JUN '16
31.994158,7.412519,0,14.095699,SEP '16
36.955475,7.473212,0,13.442899,DEC '16
34.945501,7.899452,0,13.600442,MAR '17
36.967859,7.72861,0,10.523054,JUN '17
39.7362,9.574317,0,14.028386,SEP '17
46.819483,-4.401213,0,14.782524,DEC '17
44.520616,10.79582,0,16.510337,MAR '18
46.581073,8.837293,0,14.407456,JUN '18
47.816395,11.911761,0,18.767963,SEP '18
55.858262,13.014143,0,18.529061,DEC '18
51.652282,10.32903,0,17.121358,MAR '19
55.483646,11.40675,0,18.039757,JUN '19
57.834514,11.733331,0,22.151278,SEP '19
66.145565,14.189708,0,20.752481,DEC '19
59.384602,10.564421,0,16.541306,MAR '20
